zero_fin-swe: 500	 acc: --	 ppl: 1295.95	 xent: 7.17	   8.66 TFLOP/s	 24955/26417 tok/s	 128024 sents	    958 sec	
zero_fin-swe: 1000	 acc: --	 ppl: 313.19	 xent: 5.75	   8.63 TFLOP/s	 24925/26301 tok/s	 256010 sents	   1922 sec	
zero_fin-swe: 1500	 acc: --	 ppl: 269.69	 xent: 5.60	   8.62 TFLOP/s	 24904/26253 tok/s	 384024 sents	   2886 sec	
zero_fin-swe: 2000	 acc: --	 ppl: 198.24	 xent: 5.29	   8.61 TFLOP/s	 24887/26216 tok/s	 512032 sents	   3854 sec	
zero_fin-swe: 2500	 acc: --	 ppl: 90.05	 xent: 4.50	   8.73 TFLOP/s	 25227/26571 tok/s	 640016 sents	   4810 sec	
zero_fin-swe: 3000	 acc: --	 ppl: 30.95	 xent: 3.43	   6.53 TFLOP/s	 18795/19934 tok/s	 768020 sents	   6082 sec	
zero_fin-swe: 3500	 acc: --	 ppl: 16.68	 xent: 2.81	   8.66 TFLOP/s	 25079/26287 tok/s	 896016 sents	   7045 sec	
zero_fin-swe: 4000	 acc: --	 ppl: 15.99	 xent: 2.77	   8.61 TFLOP/s	 24864/26218 tok/s	 1024032 sents	   8012 sec	
zero_fin-swe: 4500	 acc: --	 ppl: 15.68	 xent: 2.75	   8.73 TFLOP/s	 25350/26488 tok/s	 1152016 sents	   8969 sec	
zero_fin-swe: 5000	 acc: --	 ppl: 15.11	 xent: 2.72	   8.63 TFLOP/s	 24964/26271 tok/s	 1280030 sents	   9931 sec	
zero_fin-swe: 5500	 acc: --	 ppl: 14.33	 xent: 2.66	   6.49 TFLOP/s	 18716/19769 tok/s	 1408016 sents	  11216 sec	
zero_fin-swe: 6000	 acc: --	 ppl: 14.20	 xent: 2.65	   8.67 TFLOP/s	 25060/26383 tok/s	 1536020 sents	  12175 sec	
zero_fin-swe: 6500	 acc: --	 ppl: 14.12	 xent: 2.65	   8.67 TFLOP/s	 25132/26294 tok/s	 1664016 sents	  13139 sec	
zero_fin-swe: 7000	 acc: --	 ppl: 14.21	 xent: 2.65	   8.63 TFLOP/s	 24870/26316 tok/s	 1792030 sents	  14100 sec	
