zero_deu-tur: 500	 acc: --	 ppl: 270.58	 xent: 5.60	  18.85 TFLOP/s	 34003/37917 tok/s	 245460 sents	   1294 sec	
zero_deu-tur: 1000	 acc: --	 ppl: 250.53	 xent: 5.52	  18.76 TFLOP/s	 33861/37673 tok/s	 488756 sents	   2584 sec	
zero_deu-tur: 1500	 acc: --	 ppl: 28.77	 xent: 3.36	  19.09 TFLOP/s	 34483/38336 tok/s	 736944 sents	   3878 sec	
zero_deu-tur: 2000	 acc: --	 ppl: 15.70	 xent: 2.75	  18.84 TFLOP/s	 33958/37942 tok/s	 980993 sents	   5163 sec	
zero_deu-tur: 2500	 acc: --	 ppl: 15.34	 xent: 2.73	  18.98 TFLOP/s	 34227/38213 tok/s	 1226995 sents	   6449 sec	
zero_deu-tur: 3000	 acc: --	 ppl: 15.77	 xent: 2.76	  16.48 TFLOP/s	 29740/33128 tok/s	 1470644 sents	   7918 sec	
zero_deu-tur: 3500	 acc: --	 ppl: 13.77	 xent: 2.62	  19.03 TFLOP/s	 34342/38231 tok/s	 1716306 sents	   9199 sec	
zero_deu-tur: 4000	 acc: --	 ppl: 11.23	 xent: 2.42	  18.96 TFLOP/s	 34228/38104 tok/s	 1963661 sents	  10496 sec	
zero_deu-tur: 4500	 acc: --	 ppl:  9.82	 xent: 2.28	  18.59 TFLOP/s	 33535/37367 tok/s	 2206405 sents	  11792 sec	
zero_deu-tur: 5000	 acc: --	 ppl:  9.31	 xent: 2.23	  18.63 TFLOP/s	 33625/37469 tok/s	 2452235 sents	  13096 sec	

zero_deu-ukr: 500	 acc: --	 ppl: 213.46	 xent: 5.36	  19.07 TFLOP/s	 33956/38988 tok/s	 244744 sents	   1294 sec	
zero_deu-ukr: 1000	 acc: --	 ppl: 229.21	 xent: 5.43	  18.73 TFLOP/s	 33358/38290 tok/s	 484780 sents	   2584 sec	
zero_deu-ukr: 1500	 acc: --	 ppl: 21.54	 xent: 3.07	  18.93 TFLOP/s	 33682/38786 tok/s	 728589 sents	   3878 sec	
zero_deu-ukr: 2000	 acc: --	 ppl: 14.80	 xent: 2.69	  18.94 TFLOP/s	 33703/38768 tok/s	 970229 sents	   5163 sec	
zero_deu-ukr: 2500	 acc: --	 ppl: 14.30	 xent: 2.66	  19.17 TFLOP/s	 34119/39224 tok/s	 1215218 sents	   6449 sec	
zero_deu-ukr: 3000	 acc: --	 ppl: 14.60	 xent: 2.68	  16.69 TFLOP/s	 29767/34082 tok/s	 1458540 sents	   7918 sec	
zero_deu-ukr: 3500	 acc: --	 ppl: 14.22	 xent: 2.65	  19.13 TFLOP/s	 34044/39162 tok/s	 1702548 sents	   9199 sec	
zero_deu-ukr: 4000	 acc: --	 ppl: 12.70	 xent: 2.54	  19.11 TFLOP/s	 33998/39132 tok/s	 1948903 sents	  10496 sec	
zero_deu-ukr: 4500	 acc: --	 ppl:  9.82	 xent: 2.28	  18.38 TFLOP/s	 32761/37536 tok/s	 2185509 sents	  11792 sec	
zero_deu-ukr: 5000	 acc: --	 ppl:  9.86	 xent: 2.29	  18.79 TFLOP/s	 33458/38464 tok/s	 2430171 sents	  13096 sec	

zero_fra-nld: 500	 acc: --	 ppl: 272.57	 xent: 5.61	  20.06 TFLOP/s	 37788/37578 tok/s	 243315 sents	   1294 sec	
zero_fra-nld: 1000	 acc: --	 ppl: 266.17	 xent: 5.58	  19.90 TFLOP/s	 37475/37265 tok/s	 484017 sents	   2584 sec	
zero_fra-nld: 1500	 acc: --	 ppl: 20.71	 xent: 3.03	  20.40 TFLOP/s	 38417/38218 tok/s	 731649 sents	   3878 sec	
zero_fra-nld: 2000	 acc: --	 ppl: 16.08	 xent: 2.78	  20.07 TFLOP/s	 37779/37613 tok/s	 973383 sents	   5163 sec	
zero_fra-nld: 2500	 acc: --	 ppl: 15.74	 xent: 2.76	  20.21 TFLOP/s	 38054/37860 tok/s	 1217151 sents	   6449 sec	
zero_fra-nld: 3000	 acc: --	 ppl: 12.05	 xent: 2.49	  17.68 TFLOP/s	 33278/33122 tok/s	 1460786 sents	   7918 sec	
zero_fra-nld: 3500	 acc: --	 ppl:  8.85	 xent: 2.18	  20.13 TFLOP/s	 37912/37725 tok/s	 1703200 sents	   9199 sec	
zero_fra-nld: 4000	 acc: --	 ppl:  7.76	 xent: 2.05	  20.13 TFLOP/s	 37917/37695 tok/s	 1947906 sents	  10496 sec	
zero_fra-nld: 4500	 acc: --	 ppl:  7.43	 xent: 2.01	  19.50 TFLOP/s	 36750/36503 tok/s	 2184915 sents	  11792 sec	
zero_fra-nld: 5000	 acc: --	 ppl:  6.99	 xent: 1.95	  20.09 TFLOP/s	 37856/37615 tok/s	 2431845 sents	  13096 sec	

zero_swe-fin: 500	 acc: --	 ppl: 221.75	 xent: 5.40	  20.12 TFLOP/s	 37410/38413 tok/s	 241067 sents	   1294 sec	
zero_swe-fin: 1000	 acc: --	 ppl: 230.02	 xent: 5.44	  20.07 TFLOP/s	 37353/38265 tok/s	 481124 sents	   2584 sec	
zero_swe-fin: 1500	 acc: --	 ppl: 20.83	 xent: 3.04	  20.27 TFLOP/s	 37681/38681 tok/s	 724195 sents	   3878 sec	
zero_swe-fin: 2000	 acc: --	 ppl: 15.12	 xent: 2.72	  20.17 TFLOP/s	 37504/38464 tok/s	 964038 sents	   5163 sec	
zero_swe-fin: 2500	 acc: --	 ppl: 14.65	 xent: 2.68	  20.40 TFLOP/s	 37955/38873 tok/s	 1207059 sents	   6449 sec	
zero_swe-fin: 3000	 acc: --	 ppl: 10.75	 xent: 2.38	  17.90 TFLOP/s	 33302/34115 tok/s	 1450373 sents	   7918 sec	
zero_swe-fin: 3500	 acc: --	 ppl:  8.58	 xent: 2.15	  20.27 TFLOP/s	 37720/38656 tok/s	 1691320 sents	   9199 sec	
zero_swe-fin: 4000	 acc: --	 ppl:  7.26	 xent: 1.98	  20.32 TFLOP/s	 37791/38741 tok/s	 1935166 sents	  10496 sec	
zero_swe-fin: 4500	 acc: --	 ppl:  7.35	 xent: 1.99	  19.69 TFLOP/s	 36641/37521 tok/s	 2171571 sents	  11792 sec	
zero_swe-fin: 5000	 acc: --	 ppl:  6.75	 xent: 1.91	  20.18 TFLOP/s	 37518/38512 tok/s	 2416585 sents	  13096 sec	

zero_ces-slk: 500	 acc: --	 ppl: 276.74	 xent: 5.62	  20.30 TFLOP/s	 38853/36900 tok/s	 238897 sents	   1294 sec	
zero_ces-slk: 1000	 acc: --	 ppl: 289.51	 xent: 5.67	  20.18 TFLOP/s	 38611/36712 tok/s	 476088 sents	   2584 sec	
zero_ces-slk: 1500	 acc: --	 ppl: 19.05	 xent: 2.95	  20.56 TFLOP/s	 39343/37377 tok/s	 718293 sents	   3878 sec	
zero_ces-slk: 2000	 acc: --	 ppl: 16.88	 xent: 2.83	  20.32 TFLOP/s	 38877/36969 tok/s	 955879 sents	   5163 sec	
zero_ces-slk: 2500	 acc: --	 ppl: 12.38	 xent: 2.52	  20.44 TFLOP/s	 39067/37255 tok/s	 1195871 sents	   6449 sec	
