zero_fin-swe: 500	 acc: --	 ppl: 1019.38	 xent: 6.93	   8.49 TFLOP/s	 24271/25963 tok/s	 128016 sents	   1003 sec	
zero_fin-swe: 1000	 acc: --	 ppl: 273.56	 xent: 5.61	   8.54 TFLOP/s	 24491/26037 tok/s	 256010 sents	   2008 sec	
zero_fin-swe: 1500	 acc: --	 ppl: 177.60	 xent: 5.18	   8.55 TFLOP/s	 24569/26058 tok/s	 384016 sents	   3010 sec	
zero_fin-swe: 2000	 acc: --	 ppl: 170.69	 xent: 5.14	   8.51 TFLOP/s	 24363/26044 tok/s	 512030 sents	   4012 sec	
zero_fin-swe: 2500	 acc: --	 ppl: 33.79	 xent: 3.52	   8.63 TFLOP/s	 24822/26282 tok/s	 640016 sents	   5010 sec	
zero_fin-swe: 3000	 acc: --	 ppl: 19.77	 xent: 2.98	   6.57 TFLOP/s	 18892/19975 tok/s	 768020 sents	   6320 sec	
zero_fin-swe: 3500	 acc: --	 ppl: 17.51	 xent: 2.86	   8.59 TFLOP/s	 24620/26213 tok/s	 896016 sents	   7319 sec	
zero_fin-swe: 4000	 acc: --	 ppl: 15.15	 xent: 2.72	   8.58 TFLOP/s	 24636/26166 tok/s	 1024000 sents	   8322 sec	
zero_fin-swe: 4500	 acc: --	 ppl: 14.76	 xent: 2.69	   8.61 TFLOP/s	 24799/26206 tok/s	 1152016 sents	   9318 sec	
zero_fin-swe: 5000	 acc: --	 ppl: 13.89	 xent: 2.63	   8.49 TFLOP/s	 24401/25864 tok/s	 1280030 sents	  10327 sec	
zero_fin-swe: 5500	 acc: --	 ppl: 14.09	 xent: 2.65	   6.46 TFLOP/s	 18491/19746 tok/s	 1408016 sents	  11652 sec	
zero_fin-swe: 6000	 acc: --	 ppl: 13.38	 xent: 2.59	   8.52 TFLOP/s	 24431/25990 tok/s	 1536030 sents	  12655 sec	
zero_fin-swe: 6500	 acc: --	 ppl: 13.27	 xent: 2.59	   8.57 TFLOP/s	 24623/26122 tok/s	 1664016 sents	  13657 sec	
zero_fin-swe: 7000	 acc: --	 ppl: 12.91	 xent: 2.56	   8.58 TFLOP/s	 24705/26089 tok/s	 1792010 sents	  14662 sec	
zero_fin-swe: 7500	 acc: --	 ppl: 13.06	 xent: 2.57	   8.59 TFLOP/s	 24637/26203 tok/s	 1920024 sents	  15659 sec	
zero_fin-swe: 8000	 acc: --	 ppl: 13.09	 xent: 2.57	   6.48 TFLOP/s	 18569/19787 tok/s	 2048032 sents	  16978 sec	
zero_fin-swe: 8500	 acc: --	 ppl: 13.00	 xent: 2.56	   8.50 TFLOP/s	 24430/25863 tok/s	 2176024 sents	  17990 sec	
zero_fin-swe: 9000	 acc: --	 ppl: 13.04	 xent: 2.57	   8.56 TFLOP/s	 24638/26058 tok/s	 2304020 sents	  18992 sec	
